GEO_ID,NAME,households_total,households_no_vehicle,percent_no_vehicle
1400000US22103040710,"Census Tract 407.10, St. Tammany Parish, Louisiana",2012,25,0.012425447
1400000US22103040801,"Census Tract 408.01, St. Tammany Parish, Louisiana",1895,76,0.040105541
1400000US22103040802,"Census Tract 408.02, St. Tammany Parish, Louisiana",3128,179,0.057225064
1400000US22103040803,"Census Tract 408.03, St. Tammany Parish, Louisiana",3814,300,0.078657577
1400000US22103040900,"Census Tract 409, St. Tammany Parish, Louisiana",1234,168,0.136142626
1400000US22103041002,"Census Tract 410.02, St. Tammany Parish, Louisiana",1037,71,0.068466731
1400000US22103041003,"Census Tract 410.03, St. Tammany Parish, Louisiana",1966,16,0.008138352
1400000US22103041004,"Census Tract 410.04, St. Tammany Parish, Louisiana",1635,15,0.009174312
1400000US22103041101,"Census Tract 411.01, St. Tammany Parish, Louisiana",1505,13,0.008637874
1400000US22103041102,"Census Tract 411.02, St. Tammany Parish, Louisiana",2488,204,0.081993569
1400000US22103041103,"Census Tract 411.03, St. Tammany Parish, Louisiana",1067,80,0.07497657
1400000US22103041104,"Census Tract 411.04, St. Tammany Parish, Louisiana",1159,46,0.039689387
1400000US22103041202,"Census Tract 412.02, St. Tammany Parish, Louisiana",847,11,0.012987013
1400000US22103041204,"Census Tract 412.04, St. Tammany Parish, Louisiana",3326,53,0.015935057
1400000US22103041207,"Census Tract 412.07, St. Tammany Parish, Louisiana",1712,34,0.019859813
1400000US22103041208,"Census Tract 412.08, St. Tammany Parish, Louisiana",1461,32,0.021902806
1400000US22103041209,"Census Tract 412.09, St. Tammany Parish, Louisiana",1740,22,0.012643678
1400000US22103041210,"Census Tract 412.10, St. Tammany Parish, Louisiana",986,15,0.015212982
1400000US22103041211,"Census Tract 412.11, St. Tammany Parish, Louisiana",2176,42,0.019301471
1400000US22103041212,"Census Tract 412.12, St. Tammany Parish, Louisiana",1164,0,0
1400000US22103041300,"Census Tract 413, St. Tammany Parish, Louisiana",2858,16,0.005598321
1400000US22103990000,"Census Tract 9900, St. Tammany Parish, Louisiana",0,0,#DIV/0!
1400000US22105953200,"Census Tract 9532, Tangipahoa Parish, Louisiana",990,33,0.033333333
1400000US22105953300,"Census Tract 9533, Tangipahoa Parish, Louisiana",1360,135,0.099264706
1400000US22105953400,"Census Tract 9534, Tangipahoa Parish, Louisiana",2033,247,0.121495327
1400000US22105953500,"Census Tract 9535, Tangipahoa Parish, Louisiana",2733,113,0.041346506
1400000US22105953600,"Census Tract 9536, Tangipahoa Parish, Louisiana",2149,200,0.093066543
1400000US22105953700,"Census Tract 9537, Tangipahoa Parish, Louisiana",3898,113,0.028989225
1400000US22105953800,"Census Tract 9538, Tangipahoa Parish, Louisiana",1870,139,0.074331551
1400000US22105953900,"Census Tract 9539, Tangipahoa Parish, Louisiana",3386,230,0.067926757
1400000US22105954001,"Census Tract 9540.01, Tangipahoa Parish, Louisiana",1472,201,0.136548913
1400000US22105954002,"Census Tract 9540.02, Tangipahoa Parish, Louisiana",2343,30,0.012804097
1400000US22105954101,"Census Tract 9541.01, Tangipahoa Parish, Louisiana",2369,223,0.094132545
1400000US22105954102,"Census Tract 9541.02, Tangipahoa Parish, Louisiana",4251,198,0.046577276
1400000US22105954200,"Census Tract 9542, Tangipahoa Parish, Louisiana",1285,88,0.06848249
1400000US22105954300,"Census Tract 9543, Tangipahoa Parish, Louisiana",1362,95,0.069750367
1400000US22105954400,"Census Tract 9544, Tangipahoa Parish, Louisiana",1424,216,0.151685393
1400000US22105954501,"Census Tract 9545.01, Tangipahoa Parish, Louisiana",2495,140,0.056112224
1400000US22105954502,"Census Tract 9545.02, Tangipahoa Parish, Louisiana",2817,248,0.088036919
1400000US22105954600,"Census Tract 9546, Tangipahoa Parish, Louisiana",5211,127,0.024371522
1400000US22105954700,"Census Tract 9547, Tangipahoa Parish, Louisiana",1918,41,0.021376434
1400000US22105954800,"Census Tract 9548, Tangipahoa Parish, Louisiana",2231,130,0.058269834
1400000US22107000100,"Census Tract 1, Tensas Parish, Louisiana",606,73,0.120462046
1400000US22107000200,"Census Tract 2, Tensas Parish, Louisiana",410,43,0.104878049
1400000US22107000300,"Census Tract 3, Tensas Parish, Louisiana",776,120,0.154639175
1400000US22109000101,"Census Tract 1.01, Terrebonne Parish, Louisiana",2392,208,0.086956522
1400000US22109000102,"Census Tract 1.02, Terrebonne Parish, Louisiana",1619,130,0.080296479
1400000US22109000201,"Census Tract 2.01, Terrebonne Parish, Louisiana",1346,165,0.122585438
1400000US22109000202,"Census Tract 2.02, Terrebonne Parish, Louisiana",2682,133,0.049589858
1400000US22109000300,"Census Tract 3, Terrebonne Parish, Louisiana",2228,335,0.150359066
1400000US22109000401,"Census Tract 4.01, Terrebonne Parish, Louisiana",1682,147,0.087395957
1400000US22109000402,"Census Tract 4.02, Terrebonne Parish, Louisiana",1475,69,0.046779661
1400000US22109000500,"Census Tract 5, Terrebonne Parish, Louisiana",2081,185,0.088899568
1400000US22109000600,"Census Tract 6, Terrebonne Parish, Louisiana",2014,261,0.12959285
1400000US22109000700,"Census Tract 7, Terrebonne Parish, Louisiana",2129,285,0.133865665
1400000US22109000800,"Census Tract 8, Terrebonne Parish, Louisiana",2336,354,0.151541096
1400000US22109000900,"Census Tract 9, Terrebonne Parish, Louisiana",2161,564,0.260990282
1400000US22109001000,"Census Tract 10, Terrebonne Parish, Louisiana",2051,52,0.025353486
1400000US22109001100,"Census Tract 11, Terrebonne Parish, Louisiana",1108,115,0.103790614
1400000US22109001201,"Census Tract 12.01, Terrebonne Parish, Louisiana",997,91,0.091273821
1400000US22109001202,"Census Tract 12.02, Terrebonne Parish, Louisiana",1133,63,0.05560459
1400000US22109001300,"Census Tract 13, Terrebonne Parish, Louisiana",2183,150,0.068712781
1400000US22109001400,"Census Tract 14, Terrebonne Parish, Louisiana",1069,57,0.053320861
1400000US22109001500,"Census Tract 15, Terrebonne Parish, Louisiana",2363,29,0.012272535
1400000US22109001600,"Census Tract 16, Terrebonne Parish, Louisiana",1055,201,0.190521327
1400000US22109001700,"Census Tract 17, Terrebonne Parish, Louisiana",3868,170,0.043950362
1400000US22109990000,"Census Tract 9900, Terrebonne Parish, Louisiana",0,0,#DIV/0!
1400000US22111960100,"Census Tract 9601, Union Parish, Louisiana",1657,84,0.050694025
1400000US22111960200,"Census Tract 9602, Union Parish, Louisiana",1273,171,0.134328358
1400000US22111960300,"Census Tract 9603, Union Parish, Louisiana",1009,105,0.104063429
1400000US22111960400,"Census Tract 9604, Union Parish, Louisiana",928,84,0.090517241
1400000US22111960500,"Census Tract 9605, Union Parish, Louisiana",1480,66,0.044594595
1400000US22111960600,"Census Tract 9606, Union Parish, Louisiana",1235,13,0.010526316
1400000US22113950100,"Census Tract 9501, Vermilion Parish, Louisiana",3674,73,0.019869352
1400000US22113950200,"Census Tract 9502, Vermilion Parish, Louisiana",1783,115,0.064498037
1400000US22113950400,"Census Tract 9504, Vermilion Parish, Louisiana",1948,315,0.161704312
1400000US22113950500,"Census Tract 9505, Vermilion Parish, Louisiana",2055,12,0.005839416
1400000US22113950600,"Census Tract 9506, Vermilion Parish, Louisiana",1405,33,0.023487544
1400000US22113950700,"Census Tract 9507, Vermilion Parish, Louisiana",1429,174,0.121763471
1400000US22113950800,"Census Tract 9508, Vermilion Parish, Louisiana",1924,349,0.181392931
1400000US22113950901,"Census Tract 9509.01, Vermilion Parish, Louisiana",1292,99,0.076625387
1400000US22113950902,"Census Tract 9509.02, Vermilion Parish, Louisiana",2991,199,0.066532932
1400000US22113951001,"Census Tract 9510.01, Vermilion Parish, Louisiana",1711,120,0.070134424
1400000US22113951002,"Census Tract 9510.02, Vermilion Parish, Louisiana",1269,64,0.050433412
1400000US22113951100,"Census Tract 9511, Vermilion Parish, Louisiana",605,28,0.046280992
1400000US22113990000,"Census Tract 9900, Vermilion Parish, Louisiana",0,0,#DIV/0!
1400000US22115950100,"Census Tract 9501, Vernon Parish, Louisiana",1778,73,0.041057368
1400000US22115950200,"Census Tract 9502, Vernon Parish, Louisiana",1937,194,0.100154879
1400000US22115950300,"Census Tract 9503, Vernon Parish, Louisiana",1494,106,0.070950469
1400000US22115950400,"Census Tract 9504, Vernon Parish, Louisiana",1381,233,0.16871832
1400000US22115950500,"Census Tract 9505, Vernon Parish, Louisiana",2253,287,0.127385708
1400000US22115950600,"Census Tract 9506, Vernon Parish, Louisiana",1414,39,0.02758133
1400000US22115950701,"Census Tract 9507.01, Vernon Parish, Louisiana",3,0,0
1400000US22115950702,"Census Tract 9507.02, Vernon Parish, Louisiana",1086,0,0
1400000US22115950703,"Census Tract 9507.03, Vernon Parish, Louisiana",1015,33,0.032512315
1400000US22115950704,"Census Tract 9507.04, Vernon Parish, Louisiana",1445,55,0.038062284
1400000US22115950800,"Census Tract 9508, Vernon Parish, Louisiana",1524,135,0.088582677
1400000US22115950900,"Census Tract 9509, Vernon Parish, Louisiana",2366,140,0.059171598
1400000US22117950101,"Census Tract 9501.01, Washington Parish, Louisiana",943,72,0.076352068
1400000US22117950102,"Census Tract 9501.02, Washington Parish, Louisiana",1410,95,0.067375887
1400000US22117950200,"Census Tract 9502, Washington Parish, Louisiana",2424,29,0.011963696
1400000US22117950300,"Census Tract 9503, Washington Parish, Louisiana",1746,215,0.123138603
1400000US22117950400,"Census Tract 9504, Washington Parish, Louisiana",1441,47,0.032616239
1400000US22117950500,"Census Tract 9505, Washington Parish, Louisiana",2173,53,0.024390244
1400000US22117950600,"Census Tract 9506, Washington Parish, Louisiana",2017,168,0.083292018
1400000US22117950700,"Census Tract 9507, Washington Parish, Louisiana",2061,210,0.101892285
1400000US22117950800,"Census Tract 9508, Washington Parish, Louisiana",1672,354,0.211722488
1400000US22117950900,"Census Tract 9509, Washington Parish, Louisiana",481,29,0.06029106
1400000US22117951000,"Census Tract 9510, Washington Parish, Louisiana",1245,101,0.081124498
1400000US22119031100,"Census Tract 311, Webster Parish, Louisiana",781,20,0.025608195
1400000US22119031200,"Census Tract 312, Webster Parish, Louisiana",1176,186,0.158163265
1400000US22119031300,"Census Tract 313, Webster Parish, Louisiana",2224,297,0.133543165
1400000US22119031400,"Census Tract 314, Webster Parish, Louisiana",1320,92,0.06969697
1400000US22119031500,"Census Tract 315, Webster Parish, Louisiana",2355,101,0.042887473
1400000US22119031600,"Census Tract 316, Webster Parish, Louisiana",1113,8,0.007187781
1400000US22119031700,"Census Tract 317, Webster Parish, Louisiana",1187,193,0.162594777
1400000US22119031800,"Census Tract 318, Webster Parish, Louisiana",1140,54,0.047368421
1400000US22119031900,"Census Tract 319, Webster Parish, Louisiana",939,229,0.243876464
1400000US22119032000,"Census Tract 320, Webster Parish, Louisiana",1527,82,0.053700065
1400000US22119032100,"Census Tract 321, Webster Parish, Louisiana",2789,73,0.026174256
1400000US22121020100,"Census Tract 201, West Baton Rouge Parish, Louisiana",1740,166,0.095402299
1400000US22121020200,"Census Tract 202, West Baton Rouge Parish, Louisiana",1182,114,0.096446701
1400000US22121020300,"Census Tract 203, West Baton Rouge Parish, Louisiana",2235,76,0.034004474
1400000US22121020401,"Census Tract 204.01, West Baton Rouge Parish, Louisiana",1936,187,0.096590909
1400000US22121020402,"Census Tract 204.02, West Baton Rouge Parish, Louisiana",2550,66,0.025882353
